"datetime","et","p","t","et_1","p_1","t_1","et_2","p_2","t_2","et_3","p_3","t_3","et_4","p_4","t_4","et_5","p_5","t_5","et_6","p_6","t_6","et_7","p_7","t_7","et_8","p_8","t_8","et_9","p_9","t_9","et_10","p_10","t_10"
2000-10-04,0.0013716606,0,11.445319,0.0012017178,0,9.117514,0.001187246,0.005271079,8.83709,0.0013471021,0.006220881,10.867312,0.0015733339,0.030383747,10.760333,0.0018220581,0.009161238,13.09832,0.002018166,0,14.786053,0.0019506902,0.0021499386,14.190089,0.0019779857,0.0010392208,14.292387,0.0017112762,0.0067818323,11.79144,0.0020791453,0.00072627346,15.00403
2000-10-05,0.0013041971,0.0048945467,10.660166,0.0013716606,0,11.445319,0.0012017178,0,9.117514,0.001187246,0.005271079,8.83709,0.0013471021,0.006220881,10.867312,0.0015733339,0.030383747,10.760333,0.0018220581,0.009161238,13.09832,0.002018166,0,14.786053,0.0019506902,0.0021499386,14.190089,0.0019779857,0.0010392208,14.292387,0.0017112762,0.0067818323,11.79144
2000-10-06,0.00091715,0.0028987655,4.8381963,0.0013041971,0.0048945467,10.660166,0.0013716606,0,11.445319,0.0012017178,0,9.117514,0.001187246,0.005271079,8.83709,0.0013471021,0.006220881,10.867312,0.0015733339,0.030383747,10.760333,0.0018220581,0.009161238,13.09832,0.002018166,0,14.786053,0.0019506902,0.0021499386,14.190089,0.0019779857,0.0010392208,14.292387
2000-10-07,0.00087368506,0.0006930728,4.0413966,0.00091715,0.0028987655,4.8381963,0.0013041971,0.0048945467,10.660166,0.0013716606,0,11.445319,0.0012017178,0,9.117514,0.001187246,0.005271079,8.83709,0.0013471021,0.006220881,10.867312,0.0015733339,0.030383747,10.760333,0.0018220581,0.009161238,13.09832,0.002018166,0,14.786053,0.0019506902,0.0021499386,14.190089
2000-10-08,0.0010104566,0.00050901127,6.464773,0.00087368506,0.0006930728,4.0413966,0.00091715,0.0028987655,4.8381963,0.0013041971,0.0048945467,10.660166,0.0013716606,0,11.445319,0.0012017178,0,9.117514,0.001187246,0.005271079,8.83709,0.0013471021,0.006220881,10.867312,0.0015733339,0.030383747,10.760333,0.0018220581,0.009161238,13.09832,0.002018166,0,14.786053
2000-10-09,0.0011137339,0.004361423,8.252399,0.0010104566,0.00050901127,6.464773,0.00087368506,0.0006930728,4.0413966,0.00091715,0.0028987655,4.8381963,0.0013041971,0.0048945467,10.660166,0.0013716606,0,11.445319,0.0012017178,0,9.117514,0.001187246,0.005271079,8.83709,0.0013471021,0.006220881,10.867312,0.0015733339,0.030383747,10.760333,0.0018220581,0.009161238,13.09832
2000-10-10,0.0010253959,0.003956814,6.994428,0.0011137339,0.004361423,8.252399,0.0010104566,0.00050901127,6.464773,0.00087368506,0.0006930728,4.0413966,0.00091715,0.0028987655,4.8381963,0.0013041971,0.0048945467,10.660166,0.0013716606,0,11.445319,0.0012017178,0,9.117514,0.001187246,0.005271079,8.83709,0.0013471021,0.006220881,10.867312,0.0015733339,0.030383747,10.760333
2000-10-11,0.0010719099,0.021868143,7.8453674,0.0010253959,0.003956814,6.994428,0.0011137339,0.004361423,8.252399,0.0010104566,0.00050901127,6.464773,0.00087368506,0.0006930728,4.0413966,0.00091715,0.0028987655,4.8381963,0.0013041971,0.0048945467,10.660166,0.0013716606,0,11.445319,0.0012017178,0,9.117514,0.001187246,0.005271079,8.83709,0.0013471021,0.006220881,10.867312
2000-10-12,0.0012549903,0.012042888,10.552418,0.0010719099,0.021868143,7.8453674,0.0010253959,0.003956814,6.994428,0.0011137339,0.004361423,8.252399,0.0010104566,0.00050901127,6.464773,0.00087368506,0.0006930728,4.0413966,0.00091715,0.0028987655,4.8381963,0.0013041971,0.0048945467,10.660166,0.0013716606,0,11.445319,0.0012017178,0,9.117514,0.001187246,0.005271079,8.83709
2000-10-13,0.0012193737,0.015238076,10.198401,0.0012549903,0.012042888,10.552418,0.0010719099,0.021868143,7.8453674,0.0010253959,0.003956814,6.994428,0.0011137339,0.004361423,8.252399,0.0010104566,0.00050901127,6.464773,0.00087368506,0.0006930728,4.0413966,0.00091715,0.0028987655,4.8381963,0.0013041971,0.0048945467,10.660166,0.0013716606,0,11.445319,0.0012017178,0,9.117514
2000-10-14,0.0013369635,0.006257985,11.768656,0.0012193737,0.015238076,10.198401,0.0012549903,0.012042888,10.552418,0.0010719099,0.021868143,7.8453674,0.0010253959,0.003956814,6.994428,0.0011137339,0.004361423,8.252399,0.0010104566,0.00050901127,6.464773,0.00087368506,0.0006930728,4.0413966,0.00091715,0.0028987655,4.8381963,0.0013041971,0.0048945467,10.660166,0.0013716606,0,11.445319
2000-10-15,0.0013838855,0.0029029057,12.448803,0.0013369635,0.006257985,11.768656,0.0012193737,0.015238076,10.198401,0.0012549903,0.012042888,10.552418,0.0010719099,0.021868143,7.8453674,0.0010253959,0.003956814,6.994428,0.0011137339,0.004361423,8.252399,0.0010104566,0.00050901127,6.464773,0.00087368506,0.0006930728,4.0413966,0.00091715,0.0028987655,4.8381963,0.0013041971,0.0048945467,10.660166
2000-10-16,0.0011222806,0.0039844355,8.969684,0.0013838855,0.0029029057,12.448803,0.0013369635,0.006257985,11.768656,0.0012193737,0.015238076,10.198401,0.0012549903,0.012042888,10.552418,0.0010719099,0.021868143,7.8453674,0.0010253959,0.003956814,6.994428,0.0011137339,0.004361423,8.252399,0.0010104566,0.00050901127,6.464773,0.00087368506,0.0006930728,4.0413966,0.00091715,0.0028987655,4.8381963
2000-10-17,0.0010336947,0.0018303861,7.7140102,0.0011222806,0.0039844355,8.969684,0.0013838855,0.0029029057,12.448803,0.0013369635,0.006257985,11.768656,0.0012193737,0.015238076,10.198401,0.0012549903,0.012042888,10.552418,0.0010719099,0.021868143,7.8453674,0.0010253959,0.003956814,6.994428,0.0011137339,0.004361423,8.252399,0.0010104566,0.00050901127,6.464773,0.00087368506,0.0006930728,4.0413966
2000-10-18,0.0010821044,0,8.544875,0.0010336947,0.0018303861,7.7140102,0.0011222806,0.0039844355,8.969684,0.0013838855,0.0029029057,12.448803,0.0013369635,0.006257985,11.768656,0.0012193737,0.015238076,10.198401,0.0012549903,0.012042888,10.552418,0.0010719099,0.021868143,7.8453674,0.0010253959,0.003956814,6.994428,0.0011137339,0.004361423,8.252399,0.0010104566,0.00050901127,6.464773
2000-10-19,0.0010805634,0.0013394197,8.602389,0.0010821044,0,8.544875,0.0010336947,0.0018303861,7.7140102,0.0011222806,0.0039844355,8.969684,0.0013838855,0.0029029057,12.448803,0.0013369635,0.006257985,11.768656,0.0012193737,0.015238076,10.198401,0.0012549903,0.012042888,10.552418,0.0010719099,0.021868143,7.8453674,0.0010253959,0.003956814,6.994428,0.0011137339,0.004361423,8.252399
2000-10-20,0.0011679415,0,9.984565,0.0010805634,0.0013394197,8.602389,0.0010821044,0,8.544875,0.0010336947,0.0018303861,7.7140102,0.0011222806,0.0039844355,8.969684,0.0013838855,0.0029029057,12.448803,0.0013369635,0.006257985,11.768656,0.0012193737,0.015238076,10.198401,0.0012549903,0.012042888,10.552418,0.0010719099,0.021868143,7.8453674,0.0010253959,0.003956814,6.994428
2000-10-21,0.0011595372,0,9.936307,0.0011679415,0,9.984565,0.0010805634,0.0013394197,8.602389,0.0010821044,0,8.544875,0.0010336947,0.0018303861,7.7140102,0.0011222806,0.0039844355,8.969684,0.0013838855,0.0029029057,12.448803,0.0013369635,0.006257985,11.768656,0.0012193737,0.015238076,10.198401,0.0012549903,0.012042888,10.552418,0.0010719099,0.021868143,7.8453674
2000-10-22,0.0011266886,0,9.523267,0.0011595372,0,9.936307,0.0011679415,0,9.984565,0.0010805634,0.0013394197,8.602389,0.0010821044,0,8.544875,0.0010336947,0.0018303861,7.7140102,0.0011222806,0.0039844355,8.969684,0.0013838855,0.0029029057,12.448803,0.0013369635,0.006257985,11.768656,0.0012193737,0.015238076,10.198401,0.0012549903,0.012042888,10.552418
2000-10-23,0.0011129258,0,9.318904,0.0011266886,0,9.523267,0.0011595372,0,9.936307,0.0011679415,0,9.984565,0.0010805634,0.0013394197,8.602389,0.0010821044,0,8.544875,0.0010336947,0.0018303861,7.7140102,0.0011222806,0.0039844355,8.969684,0.0013838855,0.0029029057,12.448803,0.0013369635,0.006257985,11.768656,0.0012193737,0.015238076,10.198401
2000-10-24,0.0010797135,0,8.937113,0.0011129258,0,9.318904,0.0011266886,0,9.523267,0.0011595372,0,9.936307,0.0011679415,0,9.984565,0.0010805634,0.0013394197,8.602389,0.0010821044,0,8.544875,0.0010336947,0.0018303861,7.7140102,0.0011222806,0.0039844355,8.969684,0.0013838855,0.0029029057,12.448803,0.0013369635,0.006257985,11.768656
2000-10-25,0.0011330134,0.00063977914,9.802265,0.0010797135,0,8.937113,0.0011129258,0,9.318904,0.0011266886,0,9.523267,0.0011595372,0,9.936307,0.0011679415,0,9.984565,0.0010805634,0.0013394197,8.602389,0.0010821044,0,8.544875,0.0010336947,0.0018303861,7.7140102,0.0011222806,0.0039844355,8.969684,0.0013838855,0.0029029057,12.448803
2000-10-26,0.0010213439,0.0019161254,8.198975,0.0011330134,0.00063977914,9.802265,0.0010797135,0,8.937113,0.0011129258,0,9.318904,0.0011266886,0,9.523267,0.0011595372,0,9.936307,0.0011679415,0,9.984565,0.0010805634,0.0013394197,8.602389,0.0010821044,0,8.544875,0.0010336947,0.0018303861,7.7140102,0.0011222806,0.0039844355,8.969684
2000-10-27,0.000950049,0,7.096553,0.0010213439,0.0019161254,8.198975,0.0011330134,0.00063977914,9.802265,0.0010797135,0,8.937113,0.0011129258,0,9.318904,0.0011266886,0,9.523267,0.0011595372,0,9.936307,0.0011679415,0,9.984565,0.0010805634,0.0013394197,8.602389,0.0010821044,0,8.544875,0.0010336947,0.0018303861,7.7140102
2000-10-28,0.0011788959,0.0011254573,10.755782,0.000950049,0,7.096553,0.0010213439,0.0019161254,8.198975,0.0011330134,0.00063977914,9.802265,0.0010797135,0,8.937113,0.0011129258,0,9.318904,0.0011266886,0,9.523267,0.0011595372,0,9.936307,0.0011679415,0,9.984565,0.0010805634,0.0013394197,8.602389,0.0010821044,0,8.544875
2000-10-29,0.0010498828,0.0006103269,8.894679,0.0011788959,0.0011254573,10.755782,0.000950049,0,7.096553,0.0010213439,0.0019161254,8.198975,0.0011330134,0.00063977914,9.802265,0.0010797135,0,8.937113,0.0011129258,0,9.318904,0.0011266886,0,9.523267,0.0011595372,0,9.936307,0.0011679415,0,9.984565,0.0010805634,0.0013394197,8.602389
2000-10-30,0.0011297031,0.014029977,10.230594,0.0010498828,0.0006103269,8.894679,0.0011788959,0.0011254573,10.755782,0.000950049,0,7.096553,0.0010213439,0.0019161254,8.198975,0.0011330134,0.00063977914,9.802265,0.0010797135,0,8.937113,0.0011129258,0,9.318904,0.0011266886,0,9.523267,0.0011595372,0,9.936307,0.0011679415,0,9.984565
2000-10-31,0.0008680593,0.005759684,5.8735757,0.0011297031,0.014029977,10.230594,0.0010498828,0.0006103269,8.894679,0.0011788959,0.0011254573,10.755782,0.000950049,0,7.096553,0.0010213439,0.0019161254,8.198975,0.0011330134,0.00063977914,9.802265,0.0010797135,0,8.937113,0.0011129258,0,9.318904,0.0011266886,0,9.523267,0.0011595372,0,9.936307
2000-11-01,0.000703163,0.00083488855,7.959916,0.0008680593,0.005759684,5.8735757,0.0011297031,0.014029977,10.230594,0.0010498828,0.0006103269,8.894679,0.0011788959,0.0011254573,10.755782,0.000950049,0,7.096553,0.0010213439,0.0019161254,8.198975,0.0011330134,0.00063977914,9.802265,0.0010797135,0,8.937113,0.0011129258,0,9.318904,0.0011266886,0,9.523267
2000-11-02,0.0007277403,0.017751094,8.615561,0.000703163,0.00083488855,7.959916,0.0008680593,0.005759684,5.8735757,0.0011297031,0.014029977,10.230594,0.0010498828,0.0006103269,8.894679,0.0011788959,0.0011254573,10.755782,0.000950049,0,7.096553,0.0010213439,0.0019161254,8.198975,0.0011330134,0.00063977914,9.802265,0.0010797135,0,8.937113,0.0011129258,0,9.318904
2000-11-03,0.00062660885,0.011013526,6.2952385,0.0007277403,0.017751094,8.615561,0.000703163,0.00083488855,7.959916,0.0008680593,0.005759684,5.8735757,0.0011297031,0.014029977,10.230594,0.0010498828,0.0006103269,8.894679,0.0011788959,0.0011254573,10.755782,0.000950049,0,7.096553,0.0010213439,0.0019161254,8.198975,0.0011330134,0.00063977914,9.802265,0.0010797135,0,8.937113
2000-11-04,0.0005436579,0.001031548,3.8798523,0.00062660885,0.011013526,6.2952385,0.0007277403,0.017751094,8.615561,0.000703163,0.00083488855,7.959916,0.0008680593,0.005759684,5.8735757,0.0011297031,0.014029977,10.230594,0.0010498828,0.0006103269,8.894679,0.0011788959,0.0011254573,10.755782,0.000950049,0,7.096553,0.0010213439,0.0019161254,8.198975,0.0011330134,0.00063977914,9.802265
2000-11-05,0.0006143022,0.009412578,5.9822965,0.0005436579,0.001031548,3.8798523,0.00062660885,0.011013526,6.2952385,0.0007277403,0.017751094,8.615561,0.000703163,0.00083488855,7.959916,0.0008680593,0.005759684,5.8735757,0.0011297031,0.014029977,10.230594,0.0010498828,0.0006103269,8.894679,0.0011788959,0.0011254573,10.755782,0.000950049,0,7.096553,0.0010213439,0.0019161254,8.198975
