,discharge,datetime
430,138.98389,1902-03-07
431,134.03505,1902-03-08
432,133.93263,1902-03-09
433,131.8618,1902-03-10
434,127.72338,1902-03-11
435,125.33806,1902-03-12
436,123.62525,1902-03-13
437,122.05408,1902-03-14
438,144.52155,1902-03-15
439,168.98512,1902-03-16
440,165.55884,1902-03-17
441,157.1975,1902-03-18
442,147.25323,1902-03-19
443,137.75542,1902-03-20
444,134.99797,1902-03-21
445,140.7541,1902-03-22
446,146.53355,1902-03-23
447,147.64986,1902-03-24
448,165.99701,1902-03-25
449,173.37585,1902-03-26
450,160.33441,1902-03-27
451,152.82892,1902-03-28
452,190.01762,1902-03-29
453,238.08377,1902-03-30
454,230.44347,1902-03-31
455,216.029,1902-04-01
456,206.22775,1902-04-02
457,195.35983,1902-04-03
458,183.43701,1902-04-04
459,171.53633,1902-04-05
460,159.90099,1902-04-06
461,149.6885,1902-04-07
462,141.65895,1902-04-08
463,135.9122,1902-04-09
464,132.07681,1902-04-10
465,129.5305,1902-04-11
466,127.717545,1902-04-12
467,126.22824,1902-04-13
468,124.813446,1902-04-14
469,123.39023,1902-04-15
470,121.931114,1902-04-16
471,120.39713,1902-04-17
472,118.747086,1902-04-18
473,116.98307,1902-04-19
474,115.2286,1902-04-20
475,118.556564,1902-04-21
476,126.07155,1902-04-22
477,129.37903,1902-04-23
478,128.71443,1902-04-24
479,125.00775,1902-04-25
480,119.9281,1902-04-26
481,114.60163,1902-04-27
482,109.62633,1902-04-28
483,105.25242,1902-04-29
484,101.550095,1902-04-30
485,98.54105,1902-05-01
486,96.25153,1902-05-02
487,94.65696,1902-05-03
488,96.86903,1902-05-04
489,107.14745,1902-05-05
490,113.2579,1902-05-06
491,107.764885,1902-05-07
492,102.45126,1902-05-08
493,103.26396,1902-05-09
494,111.13631,1902-05-10
495,120.434975,1902-05-11
496,123.67955,1902-05-12
497,120.83952,1902-05-13
498,115.26442,1902-05-14
499,109.26809,1902-05-15
500,109.59785,1902-05-16
