"datetime","obs","pcr","res"
1981-08-09,90,291.32574,-201.32574
1981-08-10,96,291.32574,-195.32574
1981-08-11,169,291.32574,-122.32574
1981-08-12,164,291.32574,-127.32574
1981-08-13,117,291.32574,-174.32574
1981-08-14,122,291.32574,-169.32574
1981-08-15,113,291.32574,-178.32574
1981-08-16,104,253.30963,-149.30963
1981-08-17,82,240.09253,-158.09253
1981-08-18,60,234.65088,-174.65088
1981-08-19,60,260.88376,-200.88376
1981-08-20,81,283.10757,-202.10757
1981-08-21,100,376.74475,-276.74475
1981-08-22,102,315.75943,-213.75943
1981-08-23,93,291.28537,-198.28537
1981-08-24,83,291.28537,-208.28537
1981-08-25,69,291.28537,-222.28537
1981-08-26,53,291.28537,-238.28537
1981-08-27,61,288.83902,-227.83902
1981-08-28,59,227.61089,-168.61089
1981-08-29,53,220.64874,-167.64874
1981-08-30,58,216.34125,-158.34125
1981-08-31,55,212.88351,-157.88351
1981-09-01,48,208.93298,-160.93298
1981-09-02,45,206.15579,-161.15579
1981-09-03,32,203.51326,-171.51326
1981-09-04,45,200.93796,-155.93796
1981-09-05,49,198.39555,-149.39555
1981-09-06,43,195.86304,-152.86304
1981-09-07,48,193.34595,-145.34595
1981-09-08,28,190.83081,-162.83081
1981-09-09,21,188.38177,-167.38177
1981-09-10,39,185.90355,-146.90355
1981-09-11,39,183.5158,-144.5158
1981-09-12,34,181.411,-147.411
1981-09-13,55,182.5732,-127.5732
1981-09-14,52,186.40935,-134.40935
1981-09-15,39,220.87393,-181.87393
1981-09-16,68,244.19417,-176.19417
1981-09-17,58,244.94284,-186.94284
1981-09-18,53,245.89676,-192.89676
1981-09-19,51,260.18704,-209.18704
1981-09-20,80,446.42413,-366.42413
1981-09-21,98,386.5314,-288.5314
1981-09-22,81,362.25305,-281.25305
1981-09-23,130,413.33606,-283.33606
1981-09-24,123,333.32898,-210.32898
1981-09-25,93,301.71054,-208.71054
1981-09-26,116,403.83102,-287.83102
1981-09-27,79,441.488,-362.488
1981-09-28,106,454.71017,-348.71017
1981-09-29,56,329.14444,-273.14444
1981-09-30,83,290.77982,-207.77982
1981-10-01,73,290.77982,-217.77982
1981-10-02,101,290.77982,-189.77982
1981-10-03,119,290.77982,-171.77982
1981-10-04,85,273.50027,-188.50027
1981-10-05,95,270.0572,-175.0572
1981-10-06,127,337.16583,-210.16583
1981-10-07,182,450.14407,-268.14407
1981-10-08,167,333.46338,-166.46338
1981-10-09,112,319.5537,-207.5537
1981-10-10,177,533.53784,-356.53784
1981-10-11,260,654.9058,-394.9058
1981-10-12,347,467.76212,-120.76212
1981-10-13,283,370.16693,-87.16693
1981-10-14,260,359.4853,-99.4853
1981-10-15,227,538.3242,-311.3242
1981-10-16,375,571.5424,-196.5424
1981-10-17,373,519.76483,-146.76483
1981-10-18,427,409.18045,17.81955
1981-10-19,528,440.99982,87.00018
1981-10-20,565,475.7987,89.2013
1981-10-21,804,485.71967,318.28033
1981-10-22,764,416.82602,347.17398
1981-10-23,759,409.59225,349.40775
1981-10-24,749,402.18582,346.81418
1981-10-25,645,381.60654,263.39346
1981-10-26,619,414.8357,204.1643
1981-10-27,605,396.3,208.7
1981-10-28,520,420.49258,99.50742
1981-10-29,491,483.6311,7.3689
1981-10-30,660,489.17978,170.82022
1981-10-31,654,549.07245,104.92755
1981-11-01,682,454.13492,227.86508
1981-11-02,703,493.53973,209.46027
1981-11-03,591,458.6541,132.3459
1981-11-04,538,459.0081,78.9919
1981-11-05,476,445.52823,30.47177
1981-11-06,407,501.32654,-94.32654
1981-11-07,353,435.43185,-82.43185
1981-11-08,317,472.7524,-155.7524
1981-11-09,268,480.83688,-212.83688
1981-11-10,252,498.42426,-246.42426
1981-11-11,253,485.27026,-232.27026
1981-11-12,240,460.74042,-220.74042
1981-11-13,217,491.554,-274.554
1981-11-14,221,472.76828,-251.76828
1981-11-15,214,490.1663,-276.1663
1981-11-16,186,478.15472,-292.15472
1981-11-17,189,511.7859,-322.7859
1981-11-18,177,493.5615,-316.5615
1981-11-19,211,498.02426,-287.02426
1981-11-20,229,503.072,-274.072
1981-11-21,234,518.0789,-284.0789
1981-11-22,237,449.74326,-212.74326
1981-11-23,219,499.00833,-280.00833
1981-11-24,228,491.65204,-263.65204
1981-11-25,208,459.9094,-251.9094
1981-11-26,198,436.73468,-238.73468
1981-11-27,214,683.5475,-469.5475
1981-11-28,335,652.29144,-317.29144
1981-11-29,497,577.8326,-80.8326
1981-11-30,600,750.19037,-150.19037
1981-12-01,1101,850.9572,250.0428
1981-12-02,1022,630.56836,391.43164
1981-12-03,784,496.9399,287.0601
1981-12-04,658,522.8311,135.1689
1981-12-05,838,482.1371,355.8629
1981-12-06,785,518.43774,266.56226
1981-12-07,749,657.4237,91.5762999999999
1981-12-08,911,874.5724,36.4276
1981-12-09,1240,710.5928,529.4072
1981-12-10,1123,617.23016,505.76984
1981-12-11,963,560.632,402.368
1981-12-12,938,532.4138,405.5862
1981-12-13,816,539.63214,276.36786
1981-12-14,728,701.3752,26.6248000000001
1981-12-15,848,690.3647,157.6353
1981-12-16,906,676.8006,229.1994
1981-12-17,800,657.62177,142.37823
1981-12-18,705,591.16406,113.83594
1981-12-19,636,586.21783,49.78217
1981-12-20,586,541.0437,44.9563000000001
1981-12-21,525,621.65564,-96.6556399999999
1981-12-22,496,676.30396,-180.30396
1981-12-23,561,610.0544,-49.0544
1981-12-24,621,582.78485,38.21515
1981-12-25,620,597.1698,22.8302
1981-12-26,575,595.37775,-20.37775
1981-12-27,535,597.3743,-62.3742999999999
1981-12-28,425,603.92456,-178.92456
1981-12-29,395,628.7736,-233.7736
1981-12-30,504,865.96155,-361.96155
1981-12-31,820,882.82965,-62.82965
1982-01-01,1282,740.22534,541.77466
1982-01-02,1325,655.01025,669.98975
1982-01-03,1305,635.3649,669.6351
1982-01-04,1141,627.11176,513.88824
1982-01-05,976,675.7888,300.2112
1982-01-06,1089,691.49646,397.50354
1982-01-07,1206,694.0647,511.9353
1982-01-08,1149,633.8412,515.1588
1982-01-09,1028,667.7798,360.2202
1982-01-10,909,609.2262,299.7738
1982-01-11,721,673.05316,47.94684
1982-01-12,690,610.8555,79.1445
1982-01-13,602,636.0978,-34.0978
1982-01-14,553,643.7054,-90.7054000000001
1982-01-15,540,660.9686,-120.9686
1982-01-16,540,645.75085,-105.75085
1982-01-17,497,667.9417,-170.9417
1982-01-18,489,666.3304,-177.3304
1982-01-19,457,719.794,-262.794
1982-01-20,447,628.0727,-181.0727
1982-01-21,463,713.8512,-250.8512
1982-01-22,372,660.6979,-288.6979
1982-01-23,357,687.4782,-330.4782
1982-01-24,382,682.2354,-300.2354
1982-01-25,372,669.22845,-297.22845
1982-01-26,367,695.04785,-328.04785
1982-01-27,553,794.0186,-241.0186
1982-01-28,625,712.0454,-87.0454
1982-01-29,572,709.2386,-137.2386
1982-01-30,682,659.53766,22.46234
1982-01-31,768,666.6689,101.3311
1982-02-01,745,642.84595,102.15405
1982-02-02,680,598.21594,81.78406
1982-02-03,627,631.3705,-4.37049999999999
1982-02-04,571,629.8007,-58.8007
1982-02-05,503,630.97327,-127.97327
1982-02-06,466,589.502,-123.502
1982-02-07,459,604.4052,-145.4052
1982-02-08,409,612.06964,-203.06964
1982-02-09,415,653.5465,-238.5465
1982-02-10,371,604.6903,-233.6903
1982-02-11,362,577.03424,-215.03424
1982-02-12,315,603.9579,-288.9579
1982-02-13,303,586.7102,-283.7102
1982-02-14,324,634.9148,-310.9148
1982-02-15,333,572.12177,-239.12177
1982-02-16,310,587.1426,-277.1426
1982-02-17,280,604.58997,-324.58997
1982-02-18,277,593.0194,-316.0194
1982-02-19,238,564.57434,-326.57434
1982-02-20,256,554.4114,-298.4114
1982-02-21,273,584.0538,-311.0538
1982-02-22,223,548.28107,-325.28107
1982-02-23,216,572.1242,-356.1242
1982-02-24,207,532.7434,-325.7434
1982-02-25,205,579.2946,-374.2946
1982-02-26,203,529.03845,-326.03845
1982-02-27,199,507.15213,-308.15213
1982-02-28,188,555.6106,-367.6106
1982-03-01,195,663.7812,-468.7812
1982-03-02,211,756.81146,-545.81146
1982-03-03,247,769.23816,-522.23816
1982-03-04,372,728.402,-356.402
1982-03-05,356,585.7126,-229.7126
1982-03-06,310,567.872,-257.872
1982-03-07,303,516.9451,-213.9451
1982-03-08,245,469.9083,-224.9083
1982-03-09,236,503.61588,-267.61588
1982-03-10,240,606.20483,-366.20483
1982-03-11,393,707.20197,-314.20197
1982-03-12,427,575.95483,-148.95483
1982-03-13,471,563.43964,-92.4396400000001
1982-03-14,481,521.17975,-40.17975
1982-03-15,480,522.38666,-42.38666
1982-03-16,458,484.15436,-26.15436
1982-03-17,416,516.11743,-100.11743
1982-03-18,410,534.66534,-124.66534
1982-03-19,432,509.43277,-77.43277
1982-03-20,464,540.5733,-76.5733
1982-03-21,499,548.9843,-49.9843
1982-03-22,492,509.87222,-17.87222
1982-03-23,439,518.74817,-79.74817
1982-03-24,380,477.47412,-97.47412
1982-03-25,335,471.99622,-136.99622
1982-03-26,340,487.2302,-147.2302
1982-03-27,294,472.702,-178.702
1982-03-28,309,465.3621,-156.3621
1982-03-29,252,509.06668,-257.06668
1982-03-30,270,437.61093,-167.61093
1982-03-31,248,471.97287,-223.97287
1982-04-01,245,490.49487,-245.49487
