,discharge,datetime
288,3005.8054,1901-10-16
289,2845.9165,1901-10-17
290,2731.9612,1901-10-18
291,2701.7368,1901-10-19
292,2658.4763,1901-10-20
293,2583.1104,1901-10-21
294,2574.1943,1901-10-22
295,2553.2344,1901-10-23
296,2595.922,1901-10-24
297,2701.924,1901-10-25
298,2791.8535,1901-10-26
299,2815.5283,1901-10-27
300,2759.4941,1901-10-28
301,2689.1707,1901-10-29
302,2609.3184,1901-10-30
303,2489.91,1901-10-31
304,2346.3105,1901-11-01
305,2220.6716,1901-11-02
306,2124.6624,1901-11-03
307,2055.7666,1901-11-04
308,2005.8013,1901-11-05
309,1966.9113,1901-11-06
310,1933.789,1901-11-07
311,1903.4965,1901-11-08
312,1872.0305,1901-11-09
313,1829.0068,1901-11-10
314,1777.8801,1901-11-11
315,1718.4814,1901-11-12
316,1660.6895,1901-11-13
317,1582.3016,1901-11-14
318,1512.475,1901-11-15
319,1472.2488,1901-11-16
320,1465.5975,1901-11-17
321,1505.732,1901-11-18
322,1649.2045,1901-11-19
323,1844.5029,1901-11-20
324,1962.6,1901-11-21
325,1994.1722,1901-11-22
326,1965.4315,1901-11-23
327,1916.8019,1901-11-24
328,1851.0183,1901-11-25
329,1775.0665,1901-11-26
330,1696.9231,1901-11-27
331,1622.4047,1901-11-28
332,1563.4618,1901-11-29
333,1529.9554,1901-11-30
334,1507.9132,1901-12-01
335,1469.1912,1901-12-02
336,1450.1035,1901-12-03
337,1459.3878,1901-12-04
338,1492.573,1901-12-05
339,1547.8284,1901-12-06
340,1592.8209,1901-12-07
341,1681.0144,1901-12-08
342,1796.0465,1901-12-09
343,1822.0684,1901-12-10
344,1791.3357,1901-12-11
345,1823.0201,1901-12-12
346,1874.6067,1901-12-13
347,1854.9355,1901-12-14
348,1863.2504,1901-12-15
349,1890.9424,1901-12-16
350,1913.168,1901-12-17
351,1920.0289,1901-12-18
352,1910.7579,1901-12-19
353,1904.6167,1901-12-20
354,1918.9967,1901-12-21
355,1947.3278,1901-12-22
356,1997.9233,1901-12-23
357,2042.3131,1901-12-24
358,2102.9463,1901-12-25
359,2231.2825,1901-12-26
360,2418.6782,1901-12-27
361,2587.384,1901-12-28
362,2566.031,1901-12-29
363,2500.2908,1901-12-30
364,2428.1401,1901-12-31
365,2323.276,1902-01-01
366,2284.13,1902-01-02
367,2327.0261,1902-01-03
