,discharge,datetime
337,1388.2799,1901-12-04
338,1420.4803,1901-12-05
339,1476.5625,1901-12-06
340,1529.06,1901-12-07
341,1627.9957,1901-12-08
342,1757.4126,1901-12-09
343,1800.5612,1901-12-10
344,1787.3374,1901-12-11
345,1836.635,1901-12-12
346,1908.0547,1901-12-13
347,1902.5989,1901-12-14
348,1914.1532,1901-12-15
349,1940.4982,1901-12-16
350,1966.3126,1901-12-17
351,1986.4496,1901-12-18
352,1999.7274,1901-12-19
353,2032.4287,1901-12-20
354,2091.1584,1901-12-21
355,2142.9988,1901-12-22
356,2201.6848,1901-12-23
357,2238.6636,1901-12-24
358,2296.4514,1901-12-25
359,2513.5156,1901-12-26
360,2745.055,1901-12-27
361,2841.6367,1901-12-28
362,2757.4275,1901-12-29
363,2669.4968,1901-12-30
364,2592.3325,1901-12-31
365,2495.0437,1902-01-01
366,2478.3027,1902-01-02
367,2563.4988,1902-01-03
368,2651.2673,1902-01-04
369,2670.518,1902-01-05
370,2609.8623,1902-01-06
371,2544.143,1902-01-07
372,2491.0093,1902-01-08
373,2458.729,1902-01-09
374,2439.201,1902-01-10
375,2426.9084,1902-01-11
376,2413.396,1902-01-12
377,2391.875,1902-01-13
378,2371.4434,1902-01-14
379,2352.529,1902-01-15
380,2329.0942,1902-01-16
381,2299.5027,1902-01-17
382,2265.1133,1902-01-18
383,2228.2656,1902-01-19
384,2190.2053,1902-01-20
385,2149.512,1902-01-21
386,2103.5847,1902-01-22
387,2052.5276,1902-01-23
388,1999.3467,1902-01-24
389,1947.1167,1902-01-25
390,1898.2776,1902-01-26
391,1854.4937,1902-01-27
392,1831.0132,1902-01-28
393,1857.8037,1902-01-29
394,1930.7943,1902-01-30
395,2037.159,1902-01-31
396,2124.6694,1902-02-01
397,2165.733,1902-02-02
398,2164.6123,1902-02-03
399,2141.208,1902-02-04
400,2111.6003,1902-02-05
401,2082.8484,1902-02-06
402,2063.5886,1902-02-07
403,2144.0,1902-02-08
404,2342.8262,1902-02-09
405,2516.1362,1902-02-10
